name,sku,category,regular_price,sale_price,stock,brand,collections,short_description,full_description,fabric,occasion,stitching_type,is_published,is_featured,is_new_arrival,is_best_seller,is_sale,seo_title,seo_description,variant_sku,size,colour,variant_stock
White and Red Traditional Saree,BAN-SAR-001,Sarees,7500,6500,12,Bandhan,Puja Collection|Saree Collection,Classic festive saree,Elegant white and red saree for puja celebrations,Cotton silk,Puja,Ready to wear,true,true,true,true,true,White and Red Traditional Saree,Traditional puja saree,BAN-SAR-001-R-F,Free,Red,12
Antique Gold Jamdani Saree,BAN-SAR-002,Sarees,9800,,8,Bandhan,Saree Collection,Premium Jamdani style saree,Soft drape with antique gold details,Jamdani cotton,Wedding,Unstitched,true,true,true,false,false,Antique Gold Jamdani Saree,Premium Jamdani saree,BAN-SAR-002-G-F,Free,Gold,8
Burgundy Silk Saree,BAN-SAR-003,Sarees,8900,7900,10,Bandhan,Sale|Saree Collection,Rich burgundy silk saree,Festive silk saree with elegant border,Silk,Party,Ready to wear,true,false,false,true,true,Burgundy Silk Saree,Burgundy party saree,BAN-SAR-003-B-F,Free,Burgundy,10
Rose Printed Saree,BAN-SAR-004,Sarees,5200,,16,Bandhan,Saree Collection,Soft rose print saree,Lightweight printed saree for daytime events,Georgette,Casual,Unstitched,true,false,true,false,false,Rose Printed Saree,Printed georgette saree,BAN-SAR-004-P-F,Free,Rose,16
Festive Salwar Kameez,BAN-SAL-001,Salwar Kameez,6200,5400,14,Bandhan,Puja Collection|Salwar Kameez Collection,Festive salwar kameez,Comfortable embroidered festive set,Cotton blend,Puja,Stitched,true,true,true,true,true,Festive Salwar Kameez,Embroidered salwar kameez,BAN-SAL-001-M-R,M,Red,6
Ivory Salwar Kameez,BAN-SAL-002,Salwar Kameez,5800,,9,Bandhan,Salwar Kameez Collection,Soft ivory set,Minimal embroidered ivory salwar kameez,Cotton,Office,Stitched,true,false,true,false,false,Ivory Salwar Kameez,Minimal ivory salwar,BAN-SAL-002-L-I,L,Ivory,9
Rose Three Piece Set,BAN-THR-001,Three-piece Sets,4600,4200,18,Bandhan,New Arrivals,Three piece set,Printed three-piece set for regular wear,Cotton,Casual,Unstitched,true,false,true,true,true,Rose Three Piece Set,Printed three piece,BAN-THR-001-M-R,M,Rose,18
Charcoal Two Piece Set,BAN-TWO-001,Two-piece Sets,3900,,15,Bandhan,New Arrivals,Two piece co-ord,Charcoal two-piece modest co-ord,Viscose,Casual,Stitched,true,false,true,false,false,Charcoal Two Piece Set,Two piece fashion set,BAN-TWO-001-L-C,L,Charcoal,15
Bridal Red Lehenga,BAN-LEH-001,Lehengas,18500,16500,5,Bandhan,Bridal Collection|Puja Collection,Statement bridal lehenga,Rich red bridal lehenga with detailed work,Silk,Bridal,Stitched,true,true,true,true,true,Bridal Red Lehenga,Red bridal lehenga,BAN-LEH-001-M-R,M,Red,5
Gold Party Lehenga,BAN-LEH-002,Lehengas,14500,,6,Bandhan,Party Wear|Bridal Collection,Gold party lehenga,Gold lehenga for wedding and reception wear,Net,Party,Stitched,true,true,false,true,false,Gold Party Lehenga,Gold party lehenga,BAN-LEH-002-L-G,L,Gold,6
